namespace,value,timestamp
fission-function,0.021659905678940255,2021-03-29T18:42:08+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:09+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:10+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:11+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:12+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:13+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:14+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:15+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:16+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:17+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:18+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:19+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:20+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:21+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:22+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:23+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:24+02:00
fission-function,0.021659905678940255,2021-03-29T18:42:25+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:26+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:27+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:28+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:29+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:30+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:31+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:32+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:33+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:34+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:35+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:36+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:37+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:38+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:39+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:40+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:41+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:42+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:43+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:44+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:45+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:46+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:47+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:48+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:49+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:50+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:51+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:52+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:53+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:54+02:00
fission-function,0.022047252347684395,2021-03-29T18:42:55+02:00
fission-function,0.022706213367142142,2021-03-29T18:42:56+02:00
fission-function,0.022706213367142142,2021-03-29T18:42:57+02:00
fission-function,0.022706213367142142,2021-03-29T18:42:58+02:00
fission-function,0.022706213367142142,2021-03-29T18:42:59+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:00+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:01+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:02+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:03+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:04+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:05+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:06+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:07+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:08+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:09+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:10+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:11+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:12+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:13+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:14+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:15+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:16+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:17+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:18+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:19+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:20+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:21+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:22+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:23+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:24+02:00
fission-function,0.022706213367142142,2021-03-29T18:43:25+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:26+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:27+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:28+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:29+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:30+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:31+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:32+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:33+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:34+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:35+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:36+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:37+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:38+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:39+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:40+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:41+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:42+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:43+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:44+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:45+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:46+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:47+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:48+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:49+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:50+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:51+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:52+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:53+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:54+02:00
fission-function,0.02352089857950969,2021-03-29T18:43:55+02:00
fission-function,0.024235620632478718,2021-03-29T18:43:56+02:00
fission-function,0.024235620632478718,2021-03-29T18:43:57+02:00
fission-function,0.024235620632478718,2021-03-29T18:43:58+02:00
fission-function,0.024235620632478718,2021-03-29T18:43:59+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:00+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:01+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:02+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:03+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:04+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:05+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:06+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:07+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:08+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:09+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:10+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:11+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:12+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:13+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:14+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:15+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:16+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:17+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:18+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:19+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:20+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:21+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:22+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:23+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:24+02:00
fission-function,0.024235620632478718,2021-03-29T18:44:25+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:26+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:27+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:28+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:29+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:30+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:31+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:32+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:33+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:34+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:35+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:36+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:37+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:38+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:39+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:40+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:41+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:42+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:43+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:44+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:45+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:46+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:47+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:48+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:49+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:50+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:51+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:52+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:53+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:54+02:00
fission-function,0.02493881538310295,2021-03-29T18:44:55+02:00
fission-function,0.026267936418566583,2021-03-29T18:44:56+02:00
fission-function,0.026267936418566583,2021-03-29T18:44:57+02:00
fission-function,0.026267936418566583,2021-03-29T18:44:58+02:00
fission-function,0.026267936418566583,2021-03-29T18:44:59+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:00+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:01+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:02+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:03+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:04+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:05+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:06+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:07+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:08+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:09+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:10+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:11+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:12+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:13+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:14+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:15+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:16+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:17+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:18+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:19+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:20+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:21+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:22+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:23+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:24+02:00
fission-function,0.026267936418566583,2021-03-29T18:45:25+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:26+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:27+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:28+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:29+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:30+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:31+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:32+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:33+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:34+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:35+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:36+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:37+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:38+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:39+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:40+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:41+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:42+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:43+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:44+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:45+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:46+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:47+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:48+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:49+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:50+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:51+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:52+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:53+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:54+02:00
fission-function,0.030671935998956224,2021-03-29T18:45:55+02:00
fission-function,0.031960214193030544,2021-03-29T18:45:56+02:00
fission-function,0.031960214193030544,2021-03-29T18:45:57+02:00
fission-function,0.031960214193030544,2021-03-29T18:45:58+02:00
fission-function,0.031960214193030544,2021-03-29T18:45:59+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:00+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:01+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:02+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:03+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:04+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:05+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:06+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:07+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:08+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:09+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:10+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:11+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:12+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:13+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:14+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:15+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:16+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:17+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:18+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:19+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:20+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:21+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:22+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:23+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:24+02:00
fission-function,0.031960214193030544,2021-03-29T18:46:25+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:26+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:27+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:28+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:29+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:30+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:31+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:32+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:33+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:34+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:35+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:36+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:37+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:38+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:39+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:40+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:41+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:42+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:43+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:44+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:45+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:46+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:47+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:48+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:49+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:50+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:51+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:52+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:53+02:00
fission-function,0.03190642149347285,2021-03-29T18:46:54+02:00

